mpId,nameFirst,nameLast,libelleAbrev,mandat,search,bluesky,pseudo,active
PA793444,Manuel,Bompard,LFI-NFP,1,https://bsky.app/search?q=Manuel+Bompard,1,mbompard.bsky.social,1
PA569,Philippe,Bonnecarrère,NI,1,https://bsky.app/search?q=Philippe+Bonnecarr%C3%A8re,0,,
PA719968,Sylvie,Bonnet,DR,1,https://bsky.app/search?q=Sylvie+Bonnet,0,,
PA841507,Nicolas,Bonnet,ECOS,1,https://bsky.app/search?q=Nicolas+Bonnet,1,nicolasbonnet.fr,1
PA841885,Arnaud,Bonnet,ECOS,1,https://bsky.app/search?q=Arnaud+Bonnet,1,arnaud-bonnet.bsky.social,1
PA721410,Émilie,Bonnivard,DR,1,https://bsky.app/search?q=%C3%89milie+Bonnivard,0,,
PA266793,Jean-Yves,Bony,DR,1,https://bsky.app/search?q=Jean-Yves+Bony,0,,
PA793844,Pascale,Bordes,RN,1,https://bsky.app/search?q=Pascale+Bordes,0,,
PA717161,Élisabeth,Borne,EPR,0,https://bsky.app/search?q=%C3%89lisabeth+Borne,1,elisabeth-borne.bsky.social,1
PA642695,Éric,Bothorel,EPR,1,https://bsky.app/search?q=%C3%89ric+Bothorel,1,bothorel.bsky.social,1
PA721816,Ian,Boucard,DR,1,https://bsky.app/search?q=Ian+Boucard,0,,
PA606507,Florent,Boudié,EPR,1,https://bsky.app/search?q=Florent+Boudi%C3%A9,1,florentboudie.bsky.social,1
PA841487,Anthony,Boulogne,RN,1,https://bsky.app/search?q=Anthony+Boulogne,0,,
PA794094,Mickaël,Bouloux,SOC,1,https://bsky.app/search?q=Micka%C3%ABl+Bouloux,0,,
PA794938,Idir,Boumertit,LFI-NFP,1,https://bsky.app/search?q=Idir+Boumertit,1,idirboumertit.bsky.social,0
PA841131,Manon,Bouquin,RN,1,https://bsky.app/search?q=Manon+Bouquin,0,,
PA342240,Jean-Luc,Bourgeaux,DR,1,https://bsky.app/search?q=Jean-Luc+Bourgeaux,0,,
PA720838,Soumya,Bourouaha,GDR,1,https://bsky.app/search?q=Soumya+Bourouaha,1,soumyabourouaha.bsky.social,0
PA719032,Bertrand,Bouyx,HOR,1,https://bsky.app/search?q=Bertrand+Bouyx,0,,
PA793182,Jorys,Bovet,RN,1,https://bsky.app/search?q=Jorys+Bovet,1,jorysb3.bsky.social,1
PA795318,Louis,Boyard,LFI-NFP,1,https://bsky.app/search?q=Louis+Boyard,1,louisboyard.bsky.social,1
PA841339,Jean-Michel,Brard,HOR,1,https://bsky.app/search?q=Jean-Michel+Brard,0,,
PA721908,Yaël,Braun-Pivet,EPR,1,https://bsky.app/search?q=Ya%C3%ABl+Braun-Pivet,0,,
PA795990,Maud,Bregeon,EPR,1,https://bsky.app/search?q=Maud+Bregeon,0,,
PA330008,Xavier,Breton,DR,1,https://bsky.app/search?q=Xavier+Breton,0,,
PA793508,Hubert,Brigand,DR,1,https://bsky.app/search?q=Hubert+Brigand,0,,
PA721336,Blandine,Brocard,DEM,1,https://bsky.app/search?q=Blandine+Brocard,1,blandinebrocard.bsky.social,0
PA794330,Anthony,Brosse,EPR,1,https://bsky.app/search?q=Anthony+Brosse,0,,
PA719890,Danielle,Brulebois,EPR,1,https://bsky.app/search?q=Danielle+Brulebois,0,,
PA718838,Fabrice,Brun,DR,1,https://bsky.app/search?q=Fabrice+Brun,0,,
PA793624,Philippe,Brun,SOC,1,https://bsky.app/search?q=Philippe+Brun,1,philippebrun.bsky.social,0
PA840817,Joël,Bruneau,LIOT,1,https://bsky.app/search?q=Jo%C3%ABl+Bruneau,0,,
PA722000,Stéphane,Buchou,EPR,1,https://bsky.app/search?q=St%C3%A9phane+Buchou,0,,
PA794798,Françoise,Buffet,EPR,1,https://bsky.app/search?q=Fran%C3%A7oise+Buffet,0,,
PA793134,Jérôme,Buisson,RN,1,https://bsky.app/search?q=J%C3%A9r%C3%B4me+Buisson,0,,
PA841023,Pierre-Yves,Cadalen,LFI-NFP,1,https://bsky.app/search?q=Pierre-Yves+Cadalen,1,pierre-yvescadalen.bsky.social,1
PA795762,Elie,Califer,SOC,1,https://bsky.app/search?q=Elie+Califer,0,,
PA721750,Céline,Calvez,EPR,1,https://bsky.app/search?q=C%C3%A9line+Calvez,0,,
PA608264,Colette,Capdevielle,SOC,1,https://bsky.app/search?q=Colette+Capdevielle,0,,
PA795330,Eléonore,Caroit,EPR,1,https://bsky.app/search?q=El%C3%A9onore+Caroit,0,,
PA796090,Aymeric,Caron,LFI-NFP,1,https://bsky.app/search?q=Aymeric+Caron,1,aymeric-caron.bsky.social,1
PA793912,Sylvain,Carrière,LFI-NFP,1,https://bsky.app/search?q=Sylvain+Carri%C3%A8re,1,sylvaincarriere.bsky.social,1
PA841801,Danièle,Carteron,EPR,0,https://bsky.app/search?q=Dani%C3%A8le+Carteron,0,,
PA719138,Michel,Castellani,LIOT,1,https://bsky.app/search?q=Michel+Castellani,0,,
PA840075,Eddy,Casterman,RN,1,https://bsky.app/search?q=Eddy+Casterman,0,,
PA794554,Salvatore,Castiglione,LIOT,1,https://bsky.app/search?q=Salvatore+Castiglione,0,,
PA795868,Jean-Victor,Castor,GDR,1,https://bsky.app/search?q=Jean-Victor+Castor,0,,
PA842187,Gabrielle,Cathala,LFI-NFP,1,https://bsky.app/search?q=Gabrielle+Cathala,1,gabriellecthl.bsky.social,1
PA842311,Vincent,Caure,EPR,1,https://bsky.app/search?q=Vincent+Caure,1,vincentcaure.bsky.social,1
PA719922,Lionel,Causse,EPR,1,https://bsky.app/search?q=Lionel+Causse,0,,
PA793940,Thomas,Cazenave,EPR,1,https://bsky.app/search?q=Thomas+Cazenave,1,thomascazenave.bsky.social,1
PA719472,Jean-René,Cazeneuve,EPR,1,https://bsky.app/search?q=Jean-Ren%C3%A9+Cazeneuve,1,jrcazeneuve.bsky.social,1
PA795864,Pierre,Cazeneuve,EPR,1,https://bsky.app/search?q=Pierre+Cazeneuve,1,pierrecazeneuve.bsky.social,1
PA841047,François-Xavier,Ceccoli,DR,1,https://bsky.app/search?q=Fran%C3%A7ois-Xavier+Ceccoli,0,,
PA842037,Bérenger,Cernon,LFI-NFP,1,https://bsky.app/search?q=B%C3%A9renger+Cernon,1,slappy-w.bsky.social,1
PA840701,Bernard,Chaix,UDR,1,https://bsky.app/search?q=Bernard+Chaix,0,,
